image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0002,67.577102 165.827455,68.133929 187.330357,71.003827 206.845663,75.595663 224.639031,80.1875 241.858418,88.797194 260.225765,99.702806 275.723214,112.330357 290.072704,133.252004 297.215877,153.519205 294.15091,171.32901 282.425614,187.036513 267.923669,200.585532 251.676421,206.522352 231.004134,207.881524 208.560243,210.640523 187.729902,212.546413 166.942018,74.097409 161.524394,86.760022 157.557337,99.746081 158.692651,110.577349 163.213421,120.806423 169.312074,141.22672 169.308146,156.081609 163.164015,170.88714 160.169374,185.42676 159.648568,198.063054 163.73797,131.750892 177.485404,130.94684 192.901906,131.11423 208.454688,130.364214 223.541397,116.535267 227.553485,123.140486 231.133225,131.558636 234.349036,140.952995 231.508639,148.010036 228.071586,87.644881 176.941338,96.237431 170.978197,106.149372 170.688254,115.458636 180.106887,106.214614 181.869059,94.793096 181.548753,153.484653 182.18269,161.158855 173.178899,172.67868 172.051057,182.015079 178.82826,172.500764 183.550765,162.326931 183.946829,103.590853 244.323783,114.616346 244.472079,124.44859 243.132946,132.702981 245.408915,142.382749 242.79683,152.686412 244.212623,164.776697 245.319449,153.648167 258.45695,143.286063 263.633735,132.591341 264.577731,123.98545 262.977557,113.925043 258.73699,118.430375 249.834316,124.383994 249.081287,132.650002 249.347665,142.573631 249.134186,150.332645 249.800009,142.888306 253.304333,132.790217 254.297164,124.306693 252.988794
image_0003,105.234748 155.523419,105.904018 170.435587,109.538679 185.045049,113.703425 198.74468,118.755326 212.985364,126.050935 226.647852,134.127586 239.225193,142.95448 252.249119,157.004028 258.878786,177.070368 258.179745,195.108001 246.858652,210.150357 234.331403,222.256499 219.572059,231.298752 202.329766,234.106367 182.625,234.760787 163.694765,234.93328 145.221032,105.964504 137.892901,115.589775 138.723026,124.239826 140.891149,132.978041 144.382708,141.610255 148.692402,162.497414 149.387105,174.766124 145.088737,187.020431 142.02876,198.906505 140.097117,211.175215 140.340881,152.275425 160.380339,151.484043 172.073498,150.875545 184.72255,150.448224 197.321248,142.757403 202.391248,147.19122 206.502516,152.425534 209.348135,160.611633 206.572471,167.894508 203.267859,118.865587 154.352574,123.391158 150.619619,134.124533 151.315106,140.181146 157.720427,132.904618 160.617753,123.702225 160.26785,174.670208 160.080166,180.143572 152.159769,189.486735 151.784358,197.972337 156.237068,191.576968 161.177522,182.490371 161.89556,136.271104 217.783077,143.212961 217.48718,148.785859 216.013258,154.933472 218.505345,162.701449 216.87553,171.667095 217.745227,183.71669 218.948826,172.447616 230.791307,162.095219 233.806539,154.891365 233.676078,148.450855 232.3446,142.662438 228.446944,139.662458 219.924829,148.767656 221.715033,154.608858 222.569839,162.457822 222.453964,179.609637 220.607898,162.457822 222.453964,154.608858 222.569839,148.767656 221.715033
image_0004,221.843528 292.65924,223.228762 323.233551,228.630287 356.567489,235.748786 386.733451,244.524206 412.835105,261.21191 436.240036,278.07482 457.090358,301.675155 479.945819,334.731294 488.072733,364.258237 482.499702,387.515948 465.8339,406.776998 445.300897,428.264635 419.345737,437.910735 389.966013,439.603912 357.800019,442.443963 325.754236,441.640202 292.047641,231.948888 289.592487,249.699534 281.804656,268.79831 281.674654,285.753589 286.325392,303.197624 294.346042,333.061025 294.11628,352.837356 284.860289,371.288758 279.3968,392.436756 276.329362,414.046212 281.015219,321.644742 313.645108,322.164683 334.835198,321.834631 357.272376,321.888624 380.963378,298.756729 385.442685,310.6214 391.483122,323.190325 397.502445,337.311792 390.117239,349.374751 385.285428,252.620867 313.090817,265.978015 303.354065,282.536747 303.086145,296.985926 316.924154,283.726168 319.166298,265.915782 319.82484,350.779013 316.583317,366.348795 301.853614,383.604217 301.853614,393.786157 308.873804,383.403534 316.959217,366.81221 318.196517,283.469756 410.078806,298.636281 407.229508,312.807719 406.566404,324.311704 409.956358,336.190098 406.614876,352.674484 407.010665,377.548636 408.387045,353.982129 432.245325,338.538899 440.268685,327.926503 442.171213,313.803453 441.088249,298.76744 429.984492,296.994433 415.790384,314.04843 424.381224,325.952012 426.362303,336.896319 425.073534,359.223591 414.66806,336.680834 414.025747,324.762583 414.97557,313.693172 414.602677
image_0005,244.682147 343.274427,250.858263 380.331122,259.504825 417.387817,269.38661 458.150181,282.974065 495.206876,308.126711 525.473196,336.291706 549.905595,368.463921 569.112173,409.480536 574.397353,444.430073 566.259438,475.466853 539.848737,497.469692 511.764889,515.27435 479.633752,522.573844 433.620009,521.181614 394.602107,524.116455 355.856962,519.749627 315.908654,268.115898 323.840739,293.274555 311.260934,321.519454 308.047021,346.86071 311.855153,370.272614 321.389689,406.251274 320.158462,432.340691 306.874832,457.296125 298.057229,483.758573 294.750655,505.85581 303.467499,393.79128 343.320592,397.402828 369.425067,399.864954 396.162205,403.089957 423.1208,373.028844 438.832975,390.494692 443.952085,404.909267 446.872308,419.511172 440.126672,432.406741 433.552094,301.502413 349.450543,315.971446 337.272602,337.328946 336.216732,354.544444 350.417628,338.694621 355.16725,318.461181 356.416859,424.993472 348.107373,440.898215 327.395879,464.55187 323.510856,482.859994 337.318534,468.083248 344.156006,444.979145 347.906024,347.504381 479.660287,369.492769 474.094593,392.183423 469.767108,404.677651 471.743175,418.201585 466.357377,435.914252 467.96392,459.610977 470.502413,439.832222 494.514772,423.605091 503.853438,409.504886 507.733399,395.051036 507.041295,370.690094 501.223884,376.7774 483.12911,393.206844 479.066283,405.693133 478.242088,420.432418 477.544923,434.320653 479.273395,421.403702 485.563532,407.088643 488.203212,393.911666 488.012834
image_0006,101.93605 145.390863,103.283269 158.708199,106.267804 172.789409,109.941155 187.253337,113.844176 199.039025,121.726644 209.791589,131.047675 219.889849,141.089101 228.962785,154.628505 231.229747,168.535908 230.106844,179.660569 220.965482,189.112126 210.327753,198.295601 198.963195,204.379705 186.794987,206.025219 173.057887,206.714034 160.69822,207.326226 148.223518,111.002156 136.939948,121.164653 133.073971,131.171569 133.746897,140.505558 136.59154,147.831301 141.524953,162.871657 140.82708,172.193855 136.253866,181.994988 133.973836,191.293298 133.95268,200.968863 135.790623,155.362166 149.754197,155.477001 159.741323,155.82131 169.613613,155.82131 179.868622,145.686036 182.783974,150.808541 185.723254,155.936145 188.401693,161.790578 186.373658,166.459038 183.3125,121.344322 146.233299,127.505049 141.335367,136.382428 142.406703,141.854539 149.14141,135.158044 150.365992,127.561883 149.540017,169.78808 150.174533,174.380115 143.975593,182.109734 143.248566,188.423509 147.03695,183.602001 150.480828,176.790671 151.360903,132.135098 194.256325,143.016823 194.897563,150.994336 194.476631,155.160174 196.482144,160.32209 194.497786,166.682077 195.509755,176.573816 196.105158,166.946111 205.251527,160.527982 207.919193,155.285344 208.300815,150.731521 207.457657,142.657793 203.401587,145.871403 199.077436,150.999494 198.924477,155.218175 198.871742,160.333989 198.573645,166.434577 199.681827,160.374934 200.837984,155.136286 201.124291,150.917604 200.754728
image_0007,127.812792 109.130665,129.681703 127.939644,131.717281 144.748624,137.446643 163.88562,151.925868 175.155009,169.682393 184.501304,190.177474 190.436271,208.270798 200.005477,225.040025 196.302202,236.397119 187.56566,242.177891 175.133206,249.069038 164.373147,252.43795 152.086404,251.43795 137.457433,250.262389 124.679585,247.240152 113.748412,245.522963 105.632742,168.711159 108.995926,177.302337 101.696595,188.279996 100.669076,198.826315 102.043756,210.018626 103.677971,223.993909 100.337346,229.784575 95.797321,234.63726 92.325044,239.372239 87.689266,245.498082 86.334642,218.811097 108.690597,222.83778 117.419526,227.035578 126.004024,230.233376 134.408513,211.409776 144.863078,220.855447 144.861555,230.793501 144.678745,235.472477 141.140244,237.133418 134.287475,174.941973 119.227698,183.406596 116.301214,190.77679 114.349892,195.070904 115.333666,191.520255 117.652336,184.400869 118.935711,228.485297 107.084682,232.621074 103.715153,237.686221 103.185585,240.903642 104.88151,236.968314 106.929176,233.090508 107.141637,198.777553 161.785264,205.357687 156.455315,218.931486 153.056768,223.677893 153.592966,227.964958 151.517832,232.149361 150.644974,238.334382 149.975141,232.455959 166.172149,225.136645 172.526924,220.883882 173.660546,215.544003 173.186836,204.470812 168.101873,202.142383 160.962889,218.354978 157.288929,223.522019 156.295211,227.925681 155.455875,233.353493 153.84249,227.195819 159.733889,222.220682 162.650573,217.342288 163.533853
image_0008,205.244713 176.330186,207.293773 198.149395,212.820929 221.035045,217.976029 242.373518,224.385375 260.507905,238.310654 277.605409,251.110384 291.299174,269.598173 304.249107,291.188471 307.457905,311.443444 300.037491,322.105605 285.97167,331.996562 269.243838,340.655676 253.192758,346.537099 234.098227,349.384532 212.796306,349.76953 193.098129,350.087244 174.040153,226.239087 170.845637,239.522191 163.393845,255.087998 162.601671,270.301685 166.145402,282.716568 171.090139,299.600184 172.932583,311.200087 167.268444,322.459795 163.756103,333.514106 162.115651,345.562883 164.791933,295.29482 187.060171,296.262865 198.35151,297.531263 210.690676,298.309541 222.02005,275.451471 228.913888,285.600533 231.711155,296.406398 236.235874,303.968833 231.590909,310.37462 226.875147,241.539526 182.088933,250.978466 177.617288,261.99386 177.37737,270.10332 184.883846,260.373066 187.233398,250.043945 186.990119,308.079896 183.761247,315.527587 177.610808,325.236776 177.736443,332.383866 181.254007,327.183885 184.674124,317.507905 185.519763,254.169314 244.622153,268.015788 243.762902,285.35504 242.774213,292.186051 244.420629,302.27661 242.827953,311.584616 242.685397,322.928764 243.873428,312.741366 263.2139,302.665277 269.958191,292.024388 273.234373,284.635157 271.92131,267.028155 264.404224,256.186436 246.496424,284.901288 247.735149,292.210014 247.784582,302.477057 247.212518,320.39197 244.824111,302.169711 261.803293,292.282807 263.795886,285.16516 263.172379
image_0009,88.764985 111.925433,87.33368 124.878241,85.72709 139.272971,85.971902 153.020521,90.10433 167.459676,95.801878 179.712791,103.990608 189.785599,115.742487 198.336225,129.871761 203.189706,146.066598 201.431757,157.790663 195.479835,167.624061 186.001878,174.035868 173.697048,179.894722 161.10331,184.427102 147.510823,186.837231 135.71842,189.150474 122.200916,96.785063 101.756798,105.522093 97.645349,113.226208 96.480411,121.933721 98.644096,128.086136 102.334615,147.360375 104.473435,156.973435 100.459839,166.263417 98.227817,175.132468 101.169678,181.250715 107.415295,137.282916 113.997943,135.986619 122.162298,134.889356 130.056977,133.983811 138.084168,125.009805 145.314318,129.624778 148.442083,134.705026 149.253578,140.377051 148.355132,144.782799 147.685462,108.340088 113.763034,113.734368 110.311367,120.27449 111.4559,123.865864 116.002829,118.665831 117.884972,112.261557 117.416657,151.332174 118.597992,156.916949 114.162659,164.309874 113.607228,169.888255 118.352601,164.917816 121.245216,158.017839 120.884242,113.083644 165.384728,121.803504 159.112541,129.142777 157.924812,134.071216 159.610381,139.124037 158.38472,146.245869 161.10818,151.796007 167.844784,144.855009 171.009929,138.217978 171.205635,133.387388 171.14195,127.690071 170.491145,121.239175 168.656293,115.195891 164.810827,128.656899 163.911214,133.873559 164.920062,138.745524 164.269707,148.175764 166.632326,138.745524 164.269707,133.873559 164.920062,128.656899 163.911214
image_0010,611.284152 272.773913,607.89981 304.31912,613.094672 339.25559,622.80891 372.005502,632.669412 404.678824,643.511765 432.387059,651.944706 460.095294,665.273062 490.435795,695.836418 505.268304,732.882854 507.601124,771.140919 496.682178,814.58 468.528235,852.378512 442.776782,879.78038 411.071469,894.313442 365.675605,905.385571 315.92047,912.76699 265.622269,608.920127 214.00056,624.612439 205.921886,641.09255 213.028614,656.643518 218.49637,675.118172 229.895972,714.507903 232.709448,746.296501 221.279247,780.463683 216.098001,814.8437 219.577695,843.14493 231.21634,691.116694 258.293884,686.68746 284.649159,678.837382 314.952208,671.57517 341.518858,662.787059 357.695294,672.57789 363.872007,684.099935 368.436761,701.177972 366.977129,716.657204 364.432781,629.308705 253.419965,641.102353 239.634118,656.763529 242.043529,675.896682 261.234513,657.320778 266.31114,639.427321 264.662791,746.963287 268.769913,763.151112 249.64523,792.895294 251.681176,810.965882 264.932941,793.64737 274.870034,770.089168 277.392535,650.46676 402.919129,662.802218 396.521655,674.655327 393.178631,685.548727 399.199281,699.727862 394.238444,720.617079 403.327949,762.033016 412.238881,727.622851 431.747041,706.539636 437.383098,691.346572 438.212545,679.045609 436.837854,665.204535 428.934293,657.444159 406.740225,677.53279 409.255983,688.027122 410.142694,701.031914 411.571227,750.088005 413.800864,701.031914 411.571227,688.027122 410.142694,677.53279 409.255983
image_0011,120.162122 239.807914,122.707344 270.120742,128.064274 297.937585,130.170371 324.332393,137.947462 350.788401,154.55002 372.392054,172.45896 390.47748,192.738371 406.946353,219.405068 413.928458,247.998458 407.594183,266.64136 390.807853,282.878582 371.680638,297.098481 350.744569,304.888224 325.594898,306.101218 300.713407,308.704883 276.418276,312.149998 252.023137,139.816315 239.833554,159.180993 234.388809,176.667127 233.642999,195.304771 239.462834,214.857246 249.177436,237.383761 248.721113,254.288619 242.489157,269.891586 239.718773,284.892703 239.414513,300.304006 244.870047,227.837792 261.246322,229.064618 279.77804,229.449995 298.02439,229.735364 316.170732,207.782161 323.662547,217.673732 327.626309,228.123161 333.125593,237.717064 328.789026,245.378049 324.487805,164.66097 259.698779,176.714547 254.121343,190.28178 254.717695,199.256098 263.614622,188.718552 265.374403,175.816821 264.962032,249.689557 265.982672,259.297365 256.750166,272.497964 255.600007,282.763831 262.497356,273.636842 266.593128,260.156273 267.505406,183.4634 344.096337,206.425718 344.73999,218.243123 344.431322,227.129807 347.158715,236.126336 344.480806,247.757935 344.920557,258.371684 346.926763,248.165587 362.820649,236.584472 369.024055,226.844462 370.627025,217.765397 369.177346,205.657757 363.996939,205.652315 352.4341,218.493766 352.307882,227.004261 352.755738,236.08566 352.810504,249.588002 352.029716,235.995217 357.363814,227.294823 358.167423,218.437618 357.496942
